Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
2018,The quantum technologies roadmap: a European community view,"Antonio Acín, Immanuel Bloch, Harry Buhrman, Tommaso Calarco, Christopher Eichler, Jens Eisert, D. Estève, Nicolas Gisin, Steffen J. Glaser, Fedor Jelezko, Stefan Kuhr, Maciej Lewenstein, Max F. Riedel, Piet O. Schmidt, Rob Thew, Andreas Wallraff, Ian A. Walmsley, Frank K. Wilhelm","Center for Integrated Quantum Science and Technology, Institute of Photonic Sciences, University of Oxford, Service de Physique de l'État Condensé, University of Amsterdam, Institució Catalana de Recerca i Estudis Avançats, University of Geneva, Technical University of Munich, Freie Universität Berlin, CEA Paris-Saclay, QuSoft, Leibniz University Hannover, Saarland University, Max Planck Institute of Quantum Optics, University of Strathclyde, ETH Zurich, Physikalisch-Technische Bundesanstalt, Centrum Wiskunde & Informatica, Commissariat à l'Énergie Atomique et aux Énergies Alternatives, Ludwig-Maximilians-Universität München","CH, GB, ES, NL, DE, FR",546,Quantum Technology
1987,<i>Quantum Statistics of Linear and Nonlinear Optical Phenomena</i>,"Jan Perina, Neal B. Abraham",Bryn Mawr College,US,543,Quantum Technology
2017,Measuring out-of-time-order correlations and multiple quantum spectra in a trapped-ion quantum magnet,"Martin Gärttner, Justin Bohnet, Arghavan Safavi-Naini, Michael L. Wall, J. J. Bollinger, Ana María Rey","National Institute of Standards and Technology, Joint Institute for Laboratory Astrophysics",US,540,Quantum Technology
2011,Diamond-based single-photon emitters,"Igor Aharonovich, Stefania Castelletto, David Simpson, Chun‐Hsu Su, Andrew D. Greentree, Steven Prawer","University of Melbourne, Centre for Quantum Computation and Communication Technology",AU,533,Quantum Technology
2011,Broadband waveguide quantum memory for entangled photons,"Erhan Sağlamyürek, Neil Sinclair, Jeongwan Jin, Joshua A. Slater, Daniel Oblak, Félix Bussières, M. George, Raimund Ricken, W. Sohler, Wolfgang Tittel","Paderborn University, University of Calgary","DE, CA",525,Quantum Technology
2007,Cavity QED with a Bose–Einstein condensate,"Ferdinand Brennecke, Tobias Donner, Stephan Ritter, Thomas Bourdel, Michael Köhl, Tilman Esslinger","University of Cambridge, Laboratoire Charles Fabry, ETH Zurich","GB, CH, FR",523,Quantum Technology
1998,Quantum non-demolition measurements in optics,"Philippe Grangier, J. A. Levenson, Jean‐Philippe Poizat","Centre National de la Recherche Scientifique, Orange (France)",FR,519,Quantum Technology
2013,Deterministically Encoding Quantum Information Using 100-Photon Schrödinger Cat States,"Brian Vlastakis, Gerhard Kirchmair, Zaki Leghtas, Simon E. Nigg, Luigi Frunzio, S. M. Girvin, Mazyar Mirrahimi, M. H. Devoret, Robert Schoelkopf","Yale University, Institut national de recherche en informatique et en automatique","US, FR",518,Quantum Technology
2016,Keldysh field theory for driven open quantum systems,"Lukas M. Sieberer, Michael Buchhold, Sebastian Diehl","University of California, Santa Barbara, Weizmann Institute of Science, TU Dresden, University of Cologne","IL, US, DE",516,Quantum Technology
2002,Information and computation: Classical and quantum aspects,"A. Galindo, M. A. Martín-Delgado",Universidad Complutense de Madrid,ES,515,Quantum Technology
2011,Experimental control of the transition from Markovian to non-Markovian dynamics of open quantum systems,"Bi‐Heng Liu, Li Li, Yun‐Feng Huang, Chuan‐Feng Li, Guang‐Can Guo, Elsi-Mari Laine, Heinz‐Peter Breuer, Jyrki Piilo","University of Science and Technology of China, University of Turku, Turku Centre for Computer Science, University of Freiburg","DE, FI, CN",514,Quantum Technology
2013,A silicon carbide room-temperature single-photon source,"Stefania Castelletto, Brett C. Johnson, Viktor Ivády, N. Stavrias, T. Umeda, Ádám Gali, Takeshi Ohshima","Institute for Solid State Physics and Optics, Hungarian Academy of Sciences, Centre for Quantum Computation and Communication Technology, University of Melbourne, University of Tsukuba, Wigner Research Centre for Physics, Japan Atomic Energy Agency, RMIT University","HU, JP, AU",508,Quantum Technology
2012,Coherent singlet-triplet oscillations in a silicon-based double quantum dot,"Brett Maune, Matthew Borselli, Bing Huang, Thaddeus D. Ladd, Peter W. Deelman, K.S. Holabird, A. A. Kiselev, I. Alvarado-Rodriguez, Richard S. Ross, A. Schmitz, M. Sokolich, C. A. Watson, Mark F. Gyure, A. T. Hunter",HRL Laboratories (United States),US,504,Quantum Technology
1998,Strong Interactions of Single Atoms and Photons in Cavity QED,H. J. Kimble,California Institute of Technology,US,504,Quantum Technology
1998,Introduction to Quantum Computation and Information,"Hoi‐Kwong Lo, Sandu Popescu, Timothy P. Spiller",Unknown Institution,Unknown Country,503,Quantum Technology
2006,Processing quantum information in diamond,"Jörg Wrachtrup, Fedor Jelezko",University of Stuttgart,DE,502,Quantum Technology
2014,Nanophotonic quantum phase switch with a single atom,"T. G. Tiecke, Jeff D. Thompson, Nathalie P. de Leon, Lee R. Liu, Vladan Vuletić, Mikhail D. Lukin","Harvard University, Massachusetts Institute of Technology",US,501,Quantum Technology
2014,Unconditional quantum teleportation between distant solid-state quantum bits,"Wolfgang Pfaff, Bas Hensen, Hannes Bernien, Suzanne van Dam, Machiel Blok, T. H. Taminiau, M. J. Tiggelman, R. N. Schouten, Matthew Markham, Daniel J. Twitchen, Ronald Hanson","Element Six (United Kingdom), Delft University of Technology","GB, NL",501,Quantum Technology
2000,A scalable quantum computer with ions in an array of microtraps,"J. I. Cirac, P. Zoller",Universität Innsbruck,AT,494,Quantum Technology
1991,Optical Coherence Tomography,"David Huang, Eric A. Swanson, Charles P. Lin, Joel S. Schuman, William G. Stinson, Warren Chang, Michael R. Hee, Thomas Flotte, Kenton W. Gregory, Carmen A. Puliafito, James G. Fujimoto","Massachusetts Institute of Technology, Massachusetts General Hospital, MIT Lincoln Laboratory, Harvard University, Massachusetts Eye and Ear Infirmary",US,13024,Engineering Biology
1993,Tissue Engineering,"Róbert Langer, Joseph P. Vacanti","Harvard University, Harvard–MIT Division of Health Sciences and Technology, Massachusetts Institute of Technology, Boston Children's Hospital",US,9155,Engineering Biology
2006,How useful is SBF in predicting in vivo bone bioactivity?,"Tadashi Kokubo, Hiroaki Takadama",Chubu University,JP,8658,Engineering Biology
2011,Alginate: Properties and biomedical applications,"Kuen Yong Lee, David Mooney","Harvard University, Hanyang University","US, KR",6683,Engineering Biology
2005,Cellulose: Fascinating Biopolymer and Sustainable Raw Material,"Dieter Klemm, Brigitte Heublein, Hans‐Peter Fink, Andreas Böhn","Fraunhofer Institute for Applied Polymer Research, Friedrich Schiller University Jena",DE,6638,Engineering Biology
2005,Porosity of 3D biomaterial scaffolds and osteogenesis,"Vassilis Karageorgiou, David L. Kaplan",Tufts University,US,5969,Engineering Biology
2014,3D bioprinting of tissues and organs,"Sean V. Murphy, Anthony Atala","Wake Forest University, Forest Institute",US,5908,Engineering Biology
2000,Measuring the thickness of the human cerebral cortex from magnetic resonance images,"Bruce Fischl, Anders M. Dale","Harvard University, Massachusetts General Hospital",US,5552,Engineering Biology
2013,Stimuli-responsive nanocarriers for drug delivery,"Simona Mura, Julien Nicolas, Patrick Couvreur","Centre National de la Recherche Scientifique, Université Paris-Sud",FR,5496,Engineering Biology
2003,Hydrogels for tissue engineering: scaffold design variables and applications,"Jeanie L. Drury, David Mooney",University of Michigan–Ann Arbor,US,4815,Engineering Biology
2000,Scaffolds in tissue engineering bone and cartilage,Dietmar W. Hutmacher,National University of Singapore,SG,4804,Engineering Biology
1991,Bioceramics: From Concept to Clinic,Larry L. Hench,"American Ceramic Society, University of Florida",US,4781,Engineering Biology
2002,Hydrogels for biomedical applications,Allan S. Hoffman,University of Washington,US,4742,Engineering Biology
2008,Foreign body reaction to biomaterials,"James M. Anderson, Analiz Rodriguez, David T. Chang",Case Western Reserve University,US,4463,Engineering Biology
2007,In vitro scratch assay: a convenient and inexpensive method for analysis of cell migration in vitro,"Chun-Chi Liang, Ann Y. Park, Jun‐Lin Guan",University of Michigan–Ann Arbor,US,4135,Engineering Biology
2005,Magnesium and its alloys as orthopedic biomaterials: A review,"Mark P. Staiger, Alexis Pietak, Jerawala Huadmai, George J. Dias","University of Otago, University of Canterbury",NZ,4122,Engineering Biology
2007,Biodegradable polymers as biomaterials,"Lakshmi S. Nair, Cato T. Laurencin",University of Virginia,US,4116,Engineering Biology
2011,Nanocelluloses: A New Family of Nature‐Based Materials,"Dieter Klemm, Friederike Krämer, Sebastian Moritz, Tom Lindström, Mikael Ankerfors, Derek G. Gray, Annie Dorris","Polymet Jena, McGill University","DE, CA",4032,Engineering Biology
2012,Photoacoustic Tomography: In Vivo Imaging from Organelles to Organs,"Lihong V. Wang, Song Hu","Washington University in St. Louis, Optica",US,3903,Engineering Biology
2011,Poly Lactic-co-Glycolic Acid (PLGA) as Biodegradable Controlled Drug Delivery Carrier,"Hirenkumar K. Makadia, Steven J. Siegel",University of Pennsylvania,US,3865,Engineering Biology
2003,Nanoshell-mediated near-infrared thermal therapy of tumors under magnetic resonance guidance,"L. R. Hirsch, R. Jason Stafford, James A. Bankson, S.R. Sershen, Belinda Rivera, Roger E. Price, John D. Hazle, Naomi J. Halas, Jennifer L. West",Rice University,US,3823,Engineering Biology
1977,"Noninvasive, Infrared Monitoring of Cerebral and Myocardial Oxygen Sufficiency and Circulatory Parameters",Frans F. Jöbsis,Duke University,US,3769,Engineering Biology
1973,Computerized transverse axial scanning (tomography): Part 1. Description of system,Godfrey N. Hounsfield,Central Research Laboratories (United Kingdom),GB,3748,Engineering Biology
1986,MR imaging of intravoxel incoherent motions: application to diffusion and perfusion in neurologic disorders.,"Denis Le Bihan, Élodie Breton, D Lallemand, P. Grenier, E. Cabanis, M Laval-Jeantet","Mitochondrie, stress oxydant et protection musculaire, Sorbonne Université, Assistance Publique – Hôpitaux de Paris, Centre hospitalier national d'ophtalmologie des Quinze-Vingts, National Institutes of Health, Pitié-Salpêtrière Hospital, Frédéric Joliot Institute for Life Sciences","US, FR",3733,Engineering Biology
2005,Porous scaffold design for tissue engineering,Scott J. Hollister,University of Michigan–Ann Arbor,US,3696,Engineering Biology
2006,Biodegradable and bioactive porous polymer/inorganic composite scaffolds for bone tissue engineering,"Kurosch Rezwan, Q.Z. Chen, Jonny J. Blaker, Aldo R. Boccaccını",Imperial College London,GB,3658,Engineering Biology
2006,Handbook Of Biological Confocal Microscopy,James B. Pawley,University of Wisconsin–Madison,US,3540,Engineering Biology
2010,The return of a forgotten polymer—Polycaprolactone in the 21st century,"Maria A. Woodruff, Dietmar W. Hutmacher",Queensland University of Technology,AU,3477,Engineering Biology
1997,Deciding Advantageously Before Knowing the Advantageous Strategy,"Antoine Bechara, Hanna Damásio, Daniel Tranel, António R. Damásio","University of Iowa, Salk Institute for Biological Studies",US,3457,Engineering Biology
2007,Photoplethysmography and its application in clinical physiological measurement,John Allen,Freeman Hospital,GB,3413,Engineering Biology
1991,Elastography: A Quantitative Method for Imaging the Elasticity of Biological Tissues,"J. Ophir, I. Céspedes, H. Ponnekanti, Youseph Yazdi, Xiaodan Li",The University of Texas at Austin,US,3398,Engineering Biology
1983,Selective Photothermolysis: Precise Microsurgery by Selective Absorption of Pulsed Radiation,"R. Rox Anderson, John A. Parrish","Harvard University, Massachusetts General Hospital",US,3323,Engineering Biology
2002,Silk-based biomaterials,"Gregory H. Altman, Frank Diaz, Caroline M. Jakuba, Tara Calabro, Rebecca L. Horan, Jingsong Chen, Helen H. Lu, John C. Richmond, David L. Kaplan",Tufts University,US,3273,Engineering Biology
1993,"Looking at pictures: Affective, facial, visceral, and behavioral reactions","Peter J. Lang, Mark K. Greenwald, Margaret M. Bradley, Alfons O. Hamm","University of Florida, University of Florida Health",US,3104,Engineering Biology
2011,An overview of tissue and whole organ decellularization processes,"Peter M. Crapo, Thomas W. Gilbert, Stephen F. Badylak","McGowan Institute for Regenerative Medicine, University of Pittsburgh",US,3086,Engineering Biology
2008,Electrospinning: Applications in drug delivery and tissue engineering,"Travis J. Sill, Horst A. von Recum",Case Western Reserve University,US,3080,Engineering Biology
2011,Biomaterials &amp; scaffolds for tissue engineering,Fergal J. O’Brien,"Royal College of Surgeons in Ireland, Trinity College Dublin",IE,3013,Engineering Biology
1988,Separation of diffusion and perfusion in intravoxel incoherent motion MR imaging.,"Denis Le Bihan, Élodie Breton, D Lallemand, Michèle Aubin, J Vignaud, M Laval-Jeantet","Mitochondrie, stress oxydant et protection musculaire, Frédéric Joliot Institute for Life Sciences, National Institutes of Health","US, FR",2985,Engineering Biology
2008,Transdermal drug delivery,"Mark R. Prausnitz, Róbert Langer","Georgia Institute of Technology, Massachusetts Institute of Technology",US,2966,Engineering Biology
1989,"Muscle and tendon: properties, models, scaling, and application to biomechanics and motor control.",Felix E. Zajac,Stanford University,US,2958,Engineering Biology
2012,Hydrogels for biomedical applications,Allan S. Hoffman,University of Washington,US,2912,Engineering Biology
1994,Biodegradable Long-Circulating Polymeric Nanospheres,"Ruxandra Gref, Yoshiharu Minamitake, Maria Teresa Peracchia, Vladimir S. Trubetskoy, Vladimir P. Torchilin, Róbert Langer",Massachusetts Institute of Technology,US,2837,Engineering Biology
2012,NODDI: Practical in vivo neurite orientation dispersion and density imaging of the human brain,"Hui Zhang, Torben Schneider, Claudia A. M. Gandini Wheeler‐Kingshott, Daniel C. Alexander",University College London,GB,2819,Engineering Biology
2009,"Gold nanoparticles in nanomedicine: preparations, imaging, diagnostics, therapies and toxicity","Élodie Boisselier, Didier Astruc","Centre National de la Recherche Scientifique, Université de Bordeaux",FR,2673,Engineering Biology
2014,"Wound repair and regeneration: Mechanisms, signaling, and translation","Sabine A. Eming, Paul Martin, Marjana Tomic‐Canic","Cologne Excellence Cluster on Cellular Stress Responses in Aging Associated Diseases, University of Bristol, Cardiff University, University of Cologne, University of Miami","GB, US, DE",2662,Engineering Biology
2002,Third-Generation Biomedical Materials,"Larry L. Hench, Julia M. Polak","Imperial College London, University of London",GB,2649,Engineering Biology
2007,Wound Healing Dressings and Drug Delivery Systems: A Review,"Joshua Boateng, Kerr H. Matthews, Howard N.E. Stevens, Gillian M. Eccleston","Robert Gordon University, University of Strathclyde",GB,2625,Engineering Biology
1998,THE MATERIAL BONE: Structure-Mechanical Function Relations,"Stephen Weiner, H. Daniel Wagner",Weizmann Institute of Science,IL,2623,Engineering Biology
2011,Materials fabrication from Bombyx mori silk fibroin,"Danielle N. Rockwood, Rucsanda C. Preda, Tuna Yücel, Xiaoqin Wang, Michael L. Lovett, David L. Kaplan",Tufts University,US,2581,Engineering Biology
1981,"Osseointegrated Titanium Implants:<i>Requirements for Ensuring a Long-Lasting, Direct Bone-to-Implant Anchorage in Man</i>","Tomas Albrektsson, Per‐Ingvar Brånemark, Hans‐Arne Hansson, Johan Lindström",University of Gothenburg,SE,2576,Engineering Biology
2011,Chitosan—A versatile semi-synthetic polymer in biomedical applications,"Mamoni Dash, Emo Chiellini, Raphael M. Ottenbrite, Emo Chiellini","University of Pisa, Virginia Commonwealth University","US, IT",2561,Engineering Biology
2008,Perfusion-decellularized matrix: using nature's platform to engineer a bioartificial heart,"Harald C. Ott, T Matthiesen, Saik-Kia Goh, Lauren D. Black, Stefan M. Kren, Théoden I. Netoff, Doris A. Taylor","Harvard University, University of Minnesota, Massachusetts General Hospital",US,2550,Engineering Biology
2000,Synthetic biodegradable polymers as orthopedic devices,"John Middleton, Arthur James Tipton",Unknown Institution,Unknown Country,2544,Engineering Biology
1996,Laser Capture Microdissection,"Michael R. Emmert‐Buck, Robert F. Bonner, Paul D. Smith, Rodrigo Chuaqui, Zhengping Zhuang, Seth R. Goldstein, R. Weiss, Lance A. Liotta","National Cancer Institute, National Institutes of Health",US,2537,Engineering Biology
2005,Exploring and Engineering the Cell Surface Interface,"Molly M. Stevens, Julian H. George",Unknown Institution,Unknown Country,2527,Engineering Biology
1998,Bioceramics,Larry L. Hench,"American Ceramic Society, Imperial College London, University of London","GB, US",2527,Engineering Biology
2003,In vivo near-infrared fluorescence imaging,John V. Frangioni,Beth Israel Deaconess Medical Center,US,2515,Engineering Biology
2007,Nature’s hierarchical materials,"Peter Fratzl, Richard Weinkamer","Max Planck Institute of Colloids and Interfaces, Max Planck Society",DE,2500,Engineering Biology
1988,"The new stereological tools: Disector, fractionator, nucleator and point sampled intercepts and their use in pathological research and diagnosis","H.J.G. Gundersen, Peter V. Bagger, Thomas Fichtner Bendtsen, Stephen M. Evans, Lise Korbo, Niels Marcussen, Arne Möller, K Nielsen, J. R. Nyengaard, Bente Pakkenberg, Flemming Brandt Sørensen, A. Vesterby, Mark J. West","Rigshospitalet, Dansk Sygehus Institut, Hvidovre Hospital, University of Copenhagen",DK,2499,Engineering Biology
2009,Hydrogels in Regenerative Medicine,"Brandon V. Slaughter, Shahana S. Khurshid, Omar Z. Fisher, Ali Khademhosseini, Nicholas A. Peppas","The University of Texas at Austin, Massachusetts Institute of Technology, Brigham and Women's Hospital, Harvard–MIT Division of Health Sciences and Technology, Harvard University",US,2487,Engineering Biology
1997,Biodegradation and biocompatibility of PLA and PLGA microspheres,"James Anderson, Matthew S. Shive",Case Western Reserve University,US,2484,Engineering Biology
2008,On the mechanisms of biocompatibility,David F. Williams,"UNSW Sydney, University of Cape Town, University of Liverpool, Tsinghua University","GB, ZA, CN, AU",2461,Engineering Biology
2008,The Adaptive Brain: Aging and Neurocognitive Scaffolding,"Denise C. Park, Patricia A. Reuter‐Lorenz","University of Michigan–Ann Arbor, The University of Texas at Dallas",US,2439,Engineering Biology
2000,Osteoblast adhesion on biomaterials,Karine Anselme,Institut Calot,FR,2395,Engineering Biology
1998,Mechanical properties and the hierarchical structure of bone,"Jae‐Young Rho, Liisa T. Kuhn, Peter Zioupos","University of Memphis, Cranfield University, Boston Children's Hospital, Harvard University","GB, US",2373,Engineering Biology
2018,Photothermal therapy and photoacoustic imaging <i>via</i> nanotheranostics in fighting cancer,"Yijing Liu, Pravin Bhattarai, Zhifei Dai, Xiaoyuan Chen","National Institutes of Health, Peking University, National Institute of Biomedical Imaging and Bioengineering","US, CN",2367,Engineering Biology
2002,Electrospun nanofibrous structure: A novel scaffold for tissue engineering,"Wan‐Ju Li, Cato T. Laurencin, Edward J. Caterson, Rocky S. Tuan, Frank Ko","Drexel University, Thomas Jefferson University",US,2364,Engineering Biology
2007,Silk as a biomaterial,"Charu Vepari, David L. Kaplan",Tufts University,US,2354,Engineering Biology
2016,A 3D bioprinting system to produce human-scale tissue constructs with structural integrity,"Hyun‐Wook Kang, Sang Jin Lee, In Kap Ko, Carlos Kengla, James J. Yoo, Anthony Atala","Wake Forest University, Forest Institute",US,2332,Engineering Biology
2002,Tissue Engineering--Current Challenges and Expanding Opportunities,"Linda G. Griffith, Gail K. Naughton","Advanced Tissue (United States), Massachusetts Institute of Technology",US,2300,Engineering Biology
2007,The control of human mesenchymal cell differentiation using nanoscale symmetry and disorder,"Matthew J. Dalby, Nikolaj Gadegaard, Rahul S. Tare, Abhay Andar, Mathis O. Riehle, Pawel Herzyk, C.D.W. Wilkinson, Richard O.C. Oreffo","University of Glasgow, University of Southampton",GB,2295,Engineering Biology
2006,Surface treatments of titanium dental implants for rapid osseointegration,"Laurent Le Guéhennec, Assem Soueidan, Pierre Layrolle, Yves Amouriq",Inserm,FR,2289,Engineering Biology
2004,In vivo corrosion of four magnesium alloys and the associated bone response,"Frank Witte, V. Kaese, H. Haferkamp, Elinor Switzer, Andrea Meyer‐Lindenberg, C. J. Wirth, Henning Windhagen","Leibniz University Hannover, Medizinische Hochschule Hannover",DE,2277,Engineering Biology
2005,Diffusional kurtosis imaging: The quantification of non‐gaussian water diffusion by means of magnetic resonance imaging,"Jens H. Jensen, Joseph A. Helpern, Anita Ramani, Hanzhang Lu, Kyle Kaczynski","New York University, Siemens (Germany)","US, DE",2268,Engineering Biology
2015,"Synthesis, properties, and biomedical applications of gelatin methacryloyl (GelMA) hydrogels","Kan Yue, Grissel Trujillo‐de Santiago, Mario Moisés Álvarez, Ali Tamayol, Nasim Annabi, Ali Khademhosseini","Massachusetts Institute of Technology, Brigham and Women's Hospital, Tecnológico de Monterrey, Innovation Research Center, King Abdulaziz University, Harvard University, Northeastern University","US, MX, SA",2265,Engineering Biology
2013,Three-Dimensional Scaffolds for Tissue Engineering Applications: Role of Porosity and Pore Size,"Qiu Li Loh, Cleo Choong",Nanyang Technological University,SG,2262,Engineering Biology
2017,Advances in engineering hydrogels,"Yu Shrike Zhang, Ali Khademhosseini","Massachusetts Institute of Technology, Brigham and Women's Hospital, King Abdulaziz University, Harvard–MIT Division of Health Sciences and Technology, Konkuk University, Harvard University","US, KR, SA",2262,Engineering Biology
2009,"Chitosan-based hydrogels for controlled, localized drug delivery","Narayan Bhattarai, Jonathan Gunn, Miqin Zhang",University of Washington,US,2250,Engineering Biology
1999,Alginate hydrogels as synthetic extracellular matrix materials,"Jon A. Rowley, Gerard J. Madlambayan, David Mooney",University of Michigan–Ann Arbor,US,2237,Engineering Biology
2007,Adipose-Derived Stem Cells for Regenerative Medicine,"Jeffrey M. Gimble, Adam J. Katz, Bruce A. Bunnell","Pennington Biomedical Research Center, Louisiana State University System, Tulane University, University of Virginia",US,2231,Engineering Biology
2010,An overview of the recent developments in polylactide (PLA) research,"K. Madhavan Nampoothiri, Nimisha R. Nair, Rojan P. John",National Institute for Interdisciplinary Science and Technology,IN,2212,Engineering Biology
2013,"25th Anniversary Article: The Evolution of Electronic Skin (E‐Skin): A Brief History, Design Considerations, and Recent Progress","Mallory L. Hammock, Alex Chortos, Benjamin C. K. Tee, Jeffrey B.‐H. Tok, Zhenan Bao",Stanford University,US,2200,Engineering Biology
2006,The story of Bioglass®,Larry L. Hench,Imperial College London,GB,2197,Engineering Biology
2002,Electrospinning of Collagen Nanofibers,"Jamil A. Matthews, Gary E. Wnek, David G. Simpson, Gary L. Bowlin",Virginia Commonwealth University,US,2191,Engineering Biology
2001,The Design of Scaffolds for Use in Tissue Engineering. Part I. Traditional Factors,"Shoufeng Yang, Kah Fai Leong, Zhaohui Du, Chee Kai Chua",Nanyang Technological University,SG,2175,Engineering Biology
1968,Further improvements in the plaque technique for detecting single antibody-forming cells.,"Alastair J. Cunningham, A Szenberg",Unknown Institution,Unknown Country,2171,Engineering Biology
1984,Simple proton spectroscopic imaging.,W. Thomas Dixon,Unknown Institution,Unknown Country,2157,Engineering Biology
2010,A review on stereolithography and its applications in biomedical engineering,"Ferry P.W. Melchels, Jan Feijén, Dirk W. Grijpma","University of Twente, University Medical Center Groningen, University of Groningen",NL,2151,Engineering Biology
2006,Electrospinning of Polymeric Nanofibers for Tissue Engineering Applications: A Review,"Quynh P. Pham, Upma Sharma, Antonios G. Mikos",Rice University,US,2136,Engineering Biology
2000,The manufacturing techniques of various drug loaded biodegradable poly(lactide-co-glycolide) (PLGA) devices,Rajeev Jain,Unknown Institution,Unknown Country,2131,Engineering Biology
2004,Selective Differentiation of Neural Progenitor Cells by High-Epitope Density Nanofibers,"Gabriel A. Silva, Catherine Czeisler, Krista L. Niece, Elia Beniash, Daniel A. Harrington, John A. Kessler, Samuel I. Stupp",Northwestern University,US,2122,Engineering Biology
2007,"PEEK biomaterials in trauma, orthopedic, and spinal implants","Steven M. Kurtz, John N. Devine","Exponent (United States), Drexel University",US,2112,Engineering Biology
1987,Biomaterial-Centered Infection: Microbial Adhesion Versus Tissue Integration,Anthony G. Gristina,"Wake Forest University, University Medical Center",US,2100,Engineering Biology
2010,Cell-laden microengineered gelatin methacrylate hydrogels,"Jason W. Nichol, Sandeep T. Koshy, Hojae Bae, Chang Mo Hwang, Seda Yamanlar, Ali Khademhosseini","Massachusetts Institute of Technology, Brigham and Women's Hospital, University of Waterloo, Harvard–MIT Division of Health Sciences and Technology, Harvard University","US, CA",2093,Engineering Biology
1977,Blood flow measurements with radionuclide-labeled particles,"Michaël Heymann, B. Payne, Julien I.E. Hoffman, Abraham M. Rudolph",Unknown Institution,Unknown Country,2073,Engineering Biology
2016,Pursuing prosthetic electronic skin,"Alex Chortos, Jia Liu, Zhenan Bao",Stanford University,US,2068,Engineering Biology
1983,Method for analysis of cellular DNA content of paraffin-embedded pathological material using flow cytometry.,"David W. Hedley, Michael Friedlander, Ian W. Taylor, Catherine A. Rugg, Elizabeth A. Musgrove",Unknown Institution,Unknown Country,2067,Engineering Biology
2012,Bone Tissue Engineering: Recent Advances and Challenges,"Ami R. Amini, Cato T. Laurencin, Syam P. Nukavarapu","UConn Health, University of Connecticut",US,2066,Engineering Biology
2006,Decellularization of tissues and organs,"Thomas W. Gilbert, Tiffany L. Sellaro, Stephen F. Badylak","McGowan Institute for Regenerative Medicine, University of Pittsburgh",US,2061,Engineering Biology
1989,The Tension-Stress Effect on the Genesis and Growth of Tissues,Gavriil A. Ilizarov,Russian Ilizarov Scientific Center for Restorative Traumatology and Orthopaedics,RU,2055,Engineering Biology
2014,Biodegradable metals,"Yufeng Zheng, Xuenan Gu, Frank Witte","Beihang University, Berlin Institute of Health at Charité - Universitätsmedizin Berlin, Peking University Shenzhen Hospital, Peking University","DE, CN",2049,Engineering Biology
2002,"Biodegradable, Elastic Shape-Memory Polymers for Potential Biomedical Applications","Andreas Lendlein, Róbert Langer","Massachusetts Institute of Technology, RWTH Aachen University","US, DE",2043,Engineering Biology
2001,Emotion and motivation I: Defensive and appetitive reactions in picture processing.,"Margaret M. Bradley, Maurizio Codispoti, Bruce N. Cuthbert, Peter J. Lang",University of Florida,US,2018,Engineering Biology
1981,Calcium Phosphate Ceramics as Hard Tissue Prosthetics,Michael Jarcho,Unknown Institution,Unknown Country,2002,Engineering Biology
2011,Biomedical applications of biodegradable polymers,"Bret D. Ulery, Lakshmi S. Nair, Cato T. Laurencin","UConn Health, University of Connecticut",US,1982,Engineering Biology
1987,Bone “mass” and the “mechanostat”: A proposal,Harold M. Frost,"Purdue University West Lafayette, Southern Colorado Clinic",US,1978,Engineering Biology
1998,Processing and properties of hydroxyapatite-based biomaterials for use as hard tissue replacement implants,"Wojciech L. Suchanek, Masahiro Yoshimura",Tokyo Institute of Technology,JP,1974,Engineering Biology
2008,Neural Stimulation and Recording Electrodes,Stuart F. Cogan,EIC Laboratories,US,1969,Engineering Biology
2014,Metallic implant biomaterials,"Qizhi Chen, George A. Thouas",Monash University,AU,1967,Engineering Biology
2008,"Mechanically Strong, Electrically Conductive, and Biocompatible Graphene Paper","Haiqun Chen, Marc B. Müller, Kerry J. Gilmore, Gordon G. Wallace, Dan Li","ARC Centre of Excellence for Electromaterials Science, Jiangsu University of Technology, University of Wollongong","CN, AU",1966,Engineering Biology
2011,Biomedical photoacoustic imaging,Paul C. Beard,University College London,GB,1962,Engineering Biology
2013,Chitosan-based biomaterials for tissue engineering,"Florence Croisier, Christine Jérôme",University of Liège,BE,1958,Engineering Biology
2012,Recent advances in bone tissue engineering scaffolds,"Susmita Bose, Mangal Roy, Amit Bandyopadhyay",Washington State University,US,1957,Engineering Biology
2008,Applied Plasma Medicine,"Gregory Fridman, Gary Friedman, Alexànder Gutsol, А. Б. Шехтер, В. Н. Василец, Alexander Fridman","Drexel University, Sechenov University","US, RU",1949,Engineering Biology
2003,A biodegradable nanofiber scaffold by electrospinning and its potential for bone tissue engineering,"Hiroshi Yoshimoto, Yu-Shik Shin, Hidetomi Terai, Joseph P. Vacanti","Harvard University, Massachusetts General Hospital",US,1948,Engineering Biology
2000,Application of chitosan-based polysaccharide biomaterials in cartilage tissue engineering: a review,"J.-K. Suh, Howard W.T. Matthew","Wayne State University, Tulane University",US,1946,Engineering Biology
2002,Articular cartilage repair: basic science and clinical progress. A review of the current status and prospects,Ernst B. Hunziker,University of Bern,CH,1945,Engineering Biology
2005,Bone substitutes: An update,"Peter V. Giannoudis, Haralambos Dinopoulos, Eleftherios Tsiridis",St James's University Hospital,GB,1940,Engineering Biology
